GK25_Bayern_join_csv_link;GK25_Bayern_join_csv_Name;GK25_Bayern_join_csv_AltName;GK25_Bayern_join_csv_id;GK25_Bayern_join_csv_id_X;GK25_Bayern_join_csv_id_Y;GK25_Bayern_join_csv_id2;GK25_Bayern_join_csv_id2_X;GK25_Bayern_join_csv_id2_Y;GK25_Bayern_join_csv_x1;GK25_Bayern_join_csv_y1;GK25_Bayern_join_csv_x2;GK25_Bayern_join_csv_y2;GK25_Bayern_join_csv_x3;GK25_Bayern_join_csv_y3;GK25_Bayern_join_csv_x3_1;GK25_Bayern_join_csv_y4;GK25_Bayern_join_csv_x5;GK25_Bayern_join_csv_y5;GK25_Bayern_join_csv_x6;GK25_Bayern_join_csv_y6;GK25_Bayern_join_csv_x7;GK25_Bayern_join_csv_y7;GK25_Bayern_join_csv_x8;GK25_Bayern_join_csv_y8;GK_5633_5634_Sonneberg_Teuschnitz2_tif;GK25_bereits_vorhanden_csv_5633_5634;GK25_bereits_vorhanden_csv_5633_5634_X;GK25_bereits_vorhanden_csv_5633_5634_Y;GK25_bereits_vorhanden_csv_Sonneberg_Teuschnitz2;GK25_bereits_vorhanden_csv_Field4;GK25_bereits_vorhanden_csv_Field5;GK25_bereits_vorhanden_csv_Field6;GK25_bereits_vorhanden_csv_Field7
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7536.zip;GK25 7536 Freising Nord;GK25 7536 Freising Nord;7536;0.000000000000000;0.000000000000000;7536;0.000000000000000;0.000000000000000;382;411;381;430;360;430;360;411;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7539.zip;vGK25 7539 Geisenhausen;vGK25 7539 Geisenhausen;7539;0.000000000000000;0.000000000000000;7539;0.000000000000000;0.000000000000000;445;411;445;430;424;430;424;411;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7538.zip;vGK25 7538 Buch a.Erlbach;vGK25 7538 Buch a.Erlbach;7538;0.000000000000000;0.000000000000000;7538;0.000000000000000;0.000000000000000;424;411;424;430;403;430;403;411;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7626.zip;GK25 7626 Ulm-S�dost (Neu-Ulm);GK25 7626 Ulm-S�dost (Neu-Ulm);7626;0.000000000000000;0.000000000000000;7626;0.000000000000000;0.000000000000000;168;427;168;447;146;446;147;427;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7627.zip;GK25 7627 Ichenhausen;GK25 7627 Ichenhausen;7627;0.000000000000000;0.000000000000000;7627;0.000000000000000;0.000000000000000;190;428;189;447;168;447;168;427;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7645_7745.zip;vGK25 7645_7745 Rotthalm�nster;vGK25 7645_7745 Rotthalm�nster;7645_7745;77.750000000000000;76.750000000000000;7645_7745;77.750000000000000;76.750000000000000;573;429;574;448;568;448;568;450;552;450;552;448;552;429;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7644.zip;vGK25 7644 Triftern;vGK25 7644 Triftern;7644;0.000000000000000;0.000000000000000;7644;0.000000000000000;0.000000000000000;552;429;552;448;531;449;531;429;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7643.zip;vGK25 7643 Tann;vGK25 7643 Tann;7643;0.000000000000000;0.000000000000000;7643;0.000000000000000;0.000000000000000;531;429;531;449;510;449;509;430;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7642.zip;vGK25 7642 Wurmannsquick;vGK25 7642 Wurmannsquick;7642;0.000000000000000;0.000000000000000;7642;0.000000000000000;0.000000000000000;509;430;510;449;488;449;488;430;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7641.zip;vGK25 7641 Neumarkt-Sankt Veit;vGK25 7641 Neumarkt-Sankt Veit;7641;0.000000000000000;0.000000000000000;7641;0.000000000000000;0.000000000000000;488;430;488;449;467;449;467;430;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
